,EmployerName,MinPositionSalary,MaxPositionSalary,OvertimePay,LumpSumPay,OtherPay,EmployeesRetirementCostCovered,HealthDentalVision,PensionFormula,EmployerURL,EmployerCounty,TotalWages
102825,"State University, San Francisco",22879.56,38749.56,0,0,1080,0,0,,http://www.sfsu.edu/~hrwww/,San Francisco,1080
10432,"State Polytech University, San Luis Obispo",59076,131088,0,0,0,0,0,Part-Time Seasonal and Temporary (PST) Retirement Plan,http://www.afd.calpoly.edu/hr/,San Luis Obispo,4046.66
93557,"State University, San Diego",37152,65268,28687.46,0,6929.5,0,9237.72,2.00% @ 62,http://bfa.sdsu.edu/hr/,San Diego,99381.88
121943,"State University, Stanislaus",28079.4,41432.76,0,0,0,0,0,,http://www.csustan.edu/HR/index.html,Stanislaus,80.6
119490,"State University, Sonoma",22879.56,38749.56,0,0,4844.28,0,0,,http://www.sonoma.edu/hr/,Sonoma,4844.28
39893,"State University, Fullerton",37380,65700,0,0,650,0,1769.64,2.00% @ 62,http://hr.fullerton.edu/,Orange,41914.08
73787,"State University, Northridge",22879.56,38749.56,0,0,8841.3,0,0,,http://www.csun.edu/hr,Los Angeles,10839.3
84903,"State University, San Bernardino",85188,150792,0,0,0,0,23270.64,2.00% @ 55,http://hrd.csusb.edu/,San Bernardino,105590.96
74779,"State University, Northridge",22879.56,38749.56,0,0,8784.5,0,0,,http://www.csun.edu/hr,Los Angeles,10797
116344,"State University, San Marcos",22879.56,38749.56,0,0,6567,0,0,,http://www.csusm.edu/HR/,San Diego,6567
121312,"State University, Stanislaus",66408,85752,2.61,0,450,0,9389.16,2.00% @ 55,http://www.csustan.edu/HR/index.html,Stanislaus,81454.4
118139,"State University, Sonoma",49512,66192,0,0,5664.39,0,0,Part-Time Seasonal and Temporary (PST) Retirement Plan,http://www.sonoma.edu/hr/,Sonoma,11272.78
15834,"State University, Bakersfield",28079.4,41432.76,0,0,0,0,0,Part-Time Seasonal and Temporary (PST) Retirement Plan,http://www.csub.edu/BAS/hr/,Kern,4720.8
99086,"State University, San Francisco",26928,38172,0,0,1200,0,0,,http://www.sfsu.edu/~hrwww/,San Francisco,9839
83293,"State University, Sacramento",28152,66204,0,0,0,0,0,,http://www.csus.edu/hr/,Sacramento,2698.2
77019,"State University, Sacramento",60864,213120,0,0,54,0,21455.28,2.00% @ 62,http://www.csus.edu/hr/,Sacramento,120942
13531,"State Polytech University, San Luis Obispo",22879.56,38749.56,0,0,1428,0,0,,http://www.afd.calpoly.edu/hr/,San Luis Obispo,1428
99929,"State University, San Francisco",85188,150792,0,0,9445.2,0,18602.64,2.00% @ 55,http://www.sfsu.edu/~hrwww/,San Francisco,100986.52
75337,"State University, Northridge",22879.56,38749.56,0,0,2942.5,0,0,,http://www.csun.edu/hr,Los Angeles,2942.5
